icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
a8dd00,N670PC  ,United States,1750651174,1750651177,-116.9726,32.8311,281.94,False,31.42,177.18,-2.6,,259.08,,False,0,0
a36968,N319MW  ,United States,1750651372,1750651372,-116.8887,32.5869,617.22,False,34.34,106.53,2.28,,594.36,,False,0,0
aa2b79,UAL2736 ,United States,1750651372,1750651372,-116.5541,32.7301,3116.58,False,147.21,262.97,-6.83,,3215.64,2260,False,0,0
ac48ac,SWA4378 ,United States,1750651281,1750651281,-117.1822,32.7307,,True,8.75,106.88,,,,,False,0,0
acbe3e,TAI530  ,United States,1750651372,1750651372,-115.7555,32.7069,10363.2,False,229.52,302.09,0.0,,10888.98,5452,False,0,0
ac36ef,SWA2922 ,United States,1750651372,1750651372,-117.0967,32.7109,533.4,False,84.8,286.57,-4.88,,510.54,2011,False,0,0
a6f3d3,VOC4060 ,United States,1750651372,1750651372,-117.1763,33.2189,5013.96,False,175.55,274.88,-9.75,,5227.32,4742,False,0,0
a9ed95,N739MH  ,United States,1750651372,1750651372,-117.2609,33.1313,175.26,False,33.7,257.66,-1.3,,129.54,,False,0,0
a1cac8,N2140T  ,United States,1750651372,1750651372,-116.7441,32.8503,2621.28,False,57.0,216.56,-2.28,,2659.38,,False,0,0
aa36e7,N75733  ,United States,1750651372,1750651372,-117.2711,33.12,1706.88,False,68.05,133.47,-3.58,,1699.26,3343,False,0,0
a81dbc,ASA1110 ,United States,1750651306,1750651306,-117.1824,32.7308,,True,6.94,106.88,,,,,False,0,0
a506d5,ASA25   ,United States,1750651372,1750651372,-115.4986,32.8425,7338.06,False,173.03,258.86,-5.85,,7696.2,4157,False,0,0
ace7aa,SWA1061 ,United States,1750651372,1750651372,-116.7746,32.7112,2019.3,False,137.87,265.08,-6.5,,2065.02,0762,False,0,0
aa8a8a,TAI560  ,United States,1750651372,1750651372,-115.7846,32.7227,10980.42,False,227.39,301.96,0.0,,11529.06,4643,False,0,0
a2d6fd,FIRERSQ2,United States,1750651244,1750651244,-116.9824,32.8966,304.8,False,10.19,225.0,-0.98,,281.94,,False,0,0
ad2ce1,SWA1876 ,United States,1750651371,1750651372,-116.4468,33.0046,4198.62,False,161.52,214.09,-10.08,,4366.26,1166,False,0,0
a837a7,UAL8126 ,United States,1750651371,1750651372,-116.961,32.6779,1325.88,False,92.29,286.52,-4.88,,1325.88,,False,0,0
a35e61,ASI7059 ,United States,1750651372,1750651372,-117.093,32.8078,1219.2,False,66.13,13.5,2.93,,1203.96,,False,0,0
ad4afb,ASA1098 ,United States,1750651261,1750651261,-117.2001,32.7351,,True,5.4,104.06,,,,1521,False,0,0
0d0dd1,AMX648  ,Mexico,1750651372,1750651372,-116.4993,33.0741,8145.78,False,209.3,294.23,-10.73,,8549.64,3224,False,0,0
a6c70f,DAL571  ,United States,1750651364,1750651364,-117.1662,32.7279,106.68,False,71.8,286.23,-4.55,,91.44,3535,False,0,0
